CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_CBSA_NAME
PA,McKean County,"Bradford, PA"
AL,Clarke County,""
GA,Early County,""
TN,Blount County,"Knoxville, TN"
CA,Solano County,"Vallejo, CA"
NJ,Warren County,"Allentown-Bethlehem-Easton, PA-NJ"
MS,Panola County,""
GA,McIntosh County,"Brunswick, GA"
FL,Gulf County,""
LA,Webster Parish,"Minden, LA"
OR,Jackson County,"Medford, OR"
CO,Montezuma County,""
OH,Brown County,"Cincinnati, OH-KY-IN"
GA,Dooly County,""
TX,Henderson County,"Athens, TX"
AL,Houston County,"Dothan, AL"
NC,Surry County,"Mount Airy, NC"
TX,Upton County,""
VA,Rockingham County,"Harrisonburg, VA"
NY,Warren County,"Glens Falls, NY"
VA,Isle of Wight County,"Virginia Beach-Norfolk-Newport News, VA-NC"
AL,Lee County,"Auburn-Opelika, AL"
VA,Alleghany County,""
CO,Eagle County,"Edwards, CO"
VA,Charles City County,"Richmond, VA"
NM,San Miguel County,"Las Vegas, NM"
IA,Scott County,"Davenport-Moline-Rock Island, IA-IL"
CA,Butte County,"Chico, CA"
MO,Platte County,"Kansas City, MO-KS"
NY,Livingston County,"Rochester, NY"
GA,Colquitt County,"Moultrie, GA"
NH,Sullivan County,"Lebanon, NH-VT"
MN,Hubbard County,""
WA,Franklin County,"Kennewick-Richland, WA"
NC,Warren County,""
OH,Jackson County,"Jackson, OH"
AL,DeKalb County,"Fort Payne, AL"
MT,Park County,""
OH,Guernsey County,"Cambridge, OH"
WI,Sawyer County,""
MS,Prentiss County,"Tupelo, MS"
VA,Harrisonburg city,"Harrisonburg, VA"
IL,Effingham County,"Effingham, IL"
IL,Saline County,""
NC,Halifax County,"Roanoke Rapids, NC"
LA,West Feliciana Parish,"Baton Rouge, LA"
NM,Chaves County,"Roswell, NM"
AS,Eastern District,""
VA,Manassas city,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
KY,Hardin County,"Elizabethtown-Fort Knox, KY"
TX,Liberty County,"Houston-The Woodlands-Sugar Land, TX"
TX,San Jacinto County,""
MN,Cass County,"Brainerd, MN"
ID,Kootenai County,"Coeur d'Alene, ID"
IA,O'Brien County,""
MI,Menominee County,"Marinette, WI-MI"
OH,Preble County,""
OR,Marion County,"Salem, OR"
MN,Becker County,""
FL,Citrus County,"Homosassa Springs, FL"
CA,Mendocino County,"Ukiah, CA"
MS,Attala County,""
FL,Suwannee County,""
NY,Fulton County,"Gloversville, NY"
FL,Glades County,""
TX,McCulloch County,""
TX,Hunt County,"Dallas-Fort Worth-Arlington, TX"
CO,Garfield County,"Glenwood Springs, CO"
MN,Morrison County,""
OR,Deschutes County,"Bend, OR"
OK,Bryan County,"Durant, OK"
NC,Avery County,""
OR,Columbia County,"Portland-Vancouver-Hillsboro, OR-WA"
TN,Sevier County,"Sevierville, TN"
IL,Crawford County,""
TX,Lampasas County,"Killeen-Temple, TX"
MS,Washington County,"Greenville, MS"
LA,Terrebonne Parish,"Houma-Thibodaux, LA"
IL,St. Clair County,"St. Louis, MO-IL"
MN,Roseau County,""
AR,Logan County,""
LA,Vermilion Parish,"Lafayette, LA"
SC,Hampton County,""
IL,Mercer County,"Davenport-Moline-Rock Island, IA-IL"
OH,Clinton County,"Wilmington, OH"
KY,McCracken County,"Paducah, KY-IL"
FL,Jefferson County,"Tallahassee, FL"
ND,Mountrail County,""
OH,Lorain County,"Cleveland-Elyria, OH"
VA,Wise County,"Big Stone Gap, VA"
AR,Franklin County,"Fort Smith, AR-OK"
MN,Mille Lacs County,"Minneapolis-St. Paul-Bloomington, MN-WI"
MN,Nobles County,"Worthington, MN"
IA,Lee County,"Fort Madison-Keokuk, IA-IL-MO"
WV,Hardy County,""
OK,Canadian County,"Oklahoma City, OK"
TX,Rains County,""
WI,Kenosha County,"Chicago-Naperville-Elgin, IL-IN-WI"
UT,Wasatch County,"Heber, UT"
GA,Polk County,"Cedartown, GA"
MO,Christian County,"Springfield, MO"
WA,Island County,"Oak Harbor, WA"
MT,Meagher County,""
MS,Noxubee County,""
MO,Dallas County,"Springfield, MO"
SD,Corson County,""
WI,Marquette County,""
IA,Warren County,"Des Moines-West Des Moines, IA"
GA,Ware County,"Waycross, GA"
WI,Florence County,"Iron Mountain, MI-WI"
OH,Ross County,"Chillicothe, OH"
TX,Midland County,"Midland, TX"
VA,Middlesex County,""
MI,Saginaw County,"Saginaw, MI"
CO,Conejos County,""
WA,Cowlitz County,"Longview, WA"
TX,Kleberg County,"Kingsville, TX"
IA,Mahaska County,"Oskaloosa, IA"
LA,Pointe Coupee Parish,"Baton Rouge, LA"
VA,Highland County,""
WA,Asotin County,"Lewiston, ID-WA"
MI,Montcalm County,"Grand Rapids-Kentwood, MI"
WI,Manitowoc County,"Manitowoc, WI"
MO,Callaway County,"Jefferson City, MO"
VT,Lamoille County,""
MT,Lake County,""
WY,Sublette County,""
NC,Lenoir County,"Kinston, NC"
PA,Tioga County,""
WI,Door County,""
MO,Texas County,""
NC,Person County,"Durham-Chapel Hill, NC"
TX,Real County,""
OK,Rogers County,"Tulsa, OK"
MN,Winona County,"Winona, MN"
IA,Allamakee County,""
AR,Cross County,""
WV,Boone County,"Charleston, WV"
MN,Renville County,""
TX,Karnes County,""
ID,Boise County,"Boise City, ID"
OH,Ashland County,"Ashland, OH"
OK,Garvin County,""
IN,Lawrence County,"Bedford, IN"
OH,Belmont County,"Wheeling, WV-OH"
MO,Ripley County,"Poplar Bluff, MO"
NY,Wyoming County,""
AL,Barbour County,"Eufaula, AL-GA"
AK,Juneau City and Borough,"Juneau, AK"
LA,St. Mary Parish,"Morgan City, LA"
CO,Yuma County,""
NC,Anson County,"Charlotte-Concord-Gastonia, NC-SC"
OH,Meigs County,""
AR,Marion County,""
KY,Oldham County,"Louisville/Jefferson County, KY-IN"
AL,Washington County,"Mobile, AL"
NC,Scotland County,"Laurinburg, NC"
KY,Warren County,"Bowling Green, KY"
TX,Red River County,""
TX,Leon County,""
WV,Nicholas County,""
AL,Marion County,""
IA,Marshall County,"Marshalltown, IA"
MI,Ionia County,"Grand Rapids-Kentwood, MI"
NM,Luna County,"Deming, NM"
SC,York County,"Charlotte-Concord-Gastonia, NC-SC"
MO,Morgan County,""
MI,St. Clair County,"Detroit-Warren-Dearborn, MI"
CO,Weld County,"Greeley, CO"
NJ,Cape May County,"Ocean City, NJ"
CA,Lake County,"Clearlake, CA"
IN,Sullivan County,"Terre Haute, IN"
IN,Jackson County,"Seymour, IN"
UT,Grand County,""
WI,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI"
MS,Forrest County,"Hattiesburg, MS"
VA,Northampton County,""
IN,Huntington County,"Huntington, IN"
NC,Lee County,"Sanford, NC"
TN,Greene County,"Greeneville, TN"
MT,Roosevelt County,""
FL,Madison County,""
AL,Etowah County,"Gadsden, AL"
NE,Scotts Bluff County,"Scottsbluff, NE"
LA,Vernon Parish,"Fort Polk South, LA"
VA,Gloucester County,"Virginia Beach-Norfolk-Newport News, VA-NC"
AR,Chicot County,""
SD,Clay County,"Vermillion, SD"
SC,Newberry County,"Newberry, SC"
MI,Houghton County,"Houghton, MI"
IA,Clinton County,"Clinton, IA"
ID,Canyon County,"Boise City, ID"
NC,Lincoln County,"Charlotte-Concord-Gastonia, NC-SC"
AL,Bullock County,""
OH,Holmes County,""
MN,Benton County,"St. Cloud, MN"
OR,Wasco County,"The Dalles, OR"
IN,Miami County,"Peru, IN"
AZ,Pinal County,"Phoenix-Mesa-Chandler, AZ"
AK,North Slope Borough,""
MS,Chickasaw County,""
MN,Swift County,""
OH,Williams County,""
MT,Powder River County,""
IN,Howard County,"Kokomo, IN"
KS,Rooks County,""
IN,Steuben County,"Angola, IN"
AL,Choctaw County,""
NC,Nash County,"Rocky Mount, NC"
OH,Columbiana County,"Salem, OH"
CO,Pueblo County,"Pueblo, CO"
MT,Yellowstone County,"Billings, MT"
TX,Guadalupe County,"San Antonio-New Braunfels, TX"
FL,Baker County,"Jacksonville, FL"
MO,Holt County,""
AR,Bradley County,""
TX,Wharton County,"El Campo, TX"
MO,Miller County,""
MD,Caroline County,""
WI,Waupaca County,""
VA,Brunswick County,""
TX,Brewster County,""
PA,Wyoming County,"Scranton--Wilkes-Barre, PA"
TN,Stewart County,"Clarksville, TN-KY"
NE,Hall County,"Grand Island, NE"
CA,Amador County,""
IL,Clark County,""
NV,Elko County,"Elko, NV"
OH,Athens County,"Athens, OH"
KY,Mercer County,""
TN,Lincoln County,""
CA,Lassen County,"Susanville, CA"
VA,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
CT,Northwest Hills Planning Region,"Hartford-East Hartford-Middletown, CT"
NC,Chatham County,"Durham-Chapel Hill, NC"
NC,Transylvania County,"Brevard, NC"
AL,Dale County,"Ozark, AL"
TX,Jasper County,""
KY,Boone County,"Cincinnati, OH-KY-IN"
AK,Ketchikan Gateway Borough,"Ketchikan, AK"
KS,Allen County,""
VA,Waynesboro city,"Staunton, VA"
MI,Luce County,""
SD,Meade County,"Rapid City, SD"
CO,Delta County,""
KS,Clay County,""
IN,Noble County,"Kendallville, IN"
TN,Houston County,""
GA,Pierce County,"Waycross, GA"
WI,Polk County,""
KS,Scott County,""
IA,Fayette County,""
IN,Warren County,"Lafayette-West Lafayette, IN"
AL,Cherokee County,""
TX,Colorado County,""
GA,Fannin County,""
PA,Warren County,"Warren, PA"
FL,Taylor County,""
VA,Scott County,"Kingsport-Bristol, TN-VA"
MO,Clinton County,"Kansas City, MO-KS"
OH,Wyandot County,""
MI,Antrim County,""
WI,Richland County,""
MT,Wheatland County,""
MI,Shiawassee County,"Lansing-East Lansing, MI"
IL,Henderson County,"Burlington, IA-IL"
NE,Jefferson County,""
KS,Lane County,""
IL,Tazewell County,"Peoria, IL"
UT,Carbon County,"Price, UT"
VT,Grand Isle County,"Burlington-South Burlington, VT"
SD,Douglas County,""
VA,Southampton County,"Virginia Beach-Norfolk-Newport News, VA-NC"
AR,Crawford County,"Fort Smith, AR-OK"
CT,Naugatuck Valley Planning Region,"Bridgeport-Stamford-Norwalk, CT"
AR,Independence County,"Batesville, AR"
IN,Pulaski County,""
WY,Park County,""
KY,Calloway County,"Murray, KY"
MO,Jasper County,"Joplin, MO"
NM,Doña Ana County,"Las Cruces, NM"
OH,Delaware County,"Columbus, OH"
KY,Hopkins County,"Madisonville, KY"
NC,Polk County,""
NE,Saunders County,"Omaha-Council Bluffs, NE-IA"
OK,Woodward County,"Woodward, OK"
SD,Davison County,"Mitchell, SD"
MO,Scott County,"Sikeston, MO"
IA,Buena Vista County,"Storm Lake, IA"
IN,Monroe County,"Bloomington, IN"
KY,Greenup County,"Huntington-Ashland, WV-KY-OH"
KS,Norton County,""
OH,Gallia County,"Point Pleasant, WV-OH"
AL,Hale County,"Tuscaloosa, AL"
AR,Hempstead County,"Hope, AR"
VA,Accomack County,""
AR,Little River County,"Texarkana, TX-AR"
AR,Johnson County,""
OR,Lincoln County,"Newport, OR"
TX,Lavaca County,""
KY,Graves County,"Mayfield, KY"
SC,Chester County,"Charlotte-Concord-Gastonia, NC-SC"
OR,Douglas County,"Roseburg, OR"
TX,Ochiltree County,""
IA,Union County,""
TX,Burleson County,"College Station-Bryan, TX"
IA,Poweshiek County,""
MI,Monroe County,"Monroe, MI"
NY,Allegany County,""
AK,Prince of Wales-Hyder Census Area,""
IL,Ogle County,"Rochelle, IL"
NE,Clay County,""
MS,Pike County,"McComb, MS"
KY,Muhlenberg County,"Central City, KY"
WI,Langlade County,""
GA,Worth County,"Albany, GA"
VA,Frederick County,"Winchester, VA-WV"
TX,Brown County,"Brownwood, TX"
TX,Young County,""
SD,Hamlin County,"Watertown, SD"
SD,Faulk County,""
NE,Red Willow County,""
TX,Terry County,""
IL,Whiteside County,"Sterling, IL"
AL,Jackson County,"Scottsboro, AL"
AL,Winston County,""
ID,Cassia County,"Burley, ID"
MI,Roscommon County,""
SC,Barnwell County,""
WV,Jackson County,"Charleston, WV"
KS,Butler County,"Wichita, KS"
LA,Franklin Parish,""
NY,Cayuga County,"Auburn, NY"
GA,Effingham County,"Savannah, GA"
ND,LaMoure County,""
MN,Le Sueur County,"Minneapolis-St. Paul-Bloomington, MN-WI"
GA,Lumpkin County,""
LA,Evangeline Parish,""
MO,Perry County,""
IA,Chickasaw County,""
KY,Bullitt County,"Louisville/Jefferson County, KY-IN"
TX,Edwards County,""
IN,Posey County,"Evansville, IN-KY"
WI,Bayfield County,""
NC,Pamlico County,"New Bern, NC"
FL,Flagler County,"Deltona-Daytona Beach-Ormond Beach, FL"
IL,McDonough County,"Macomb, IL"
WI,Lafayette County,""
IA,Boone County,"Ames, IA"
CO,Jackson County,""
MI,Gratiot County,"Alma, MI"
KS,Thomas County,""
KY,Letcher County,""
FL,Gadsden County,"Tallahassee, FL"
TX,Grayson County,"Sherman-Denison, TX"
OH,Vinton County,""
IN,Fulton County,""
TN,Chester County,"Jackson, TN"
CO,Fremont County,"Cañon City, CO"
CA,Yuba County,"Yuba City, CA"
FL,Franklin County,""
NC,Sampson County,""
KY,Butler County,"Bowling Green, KY"
IA,Carroll County,"Carroll, IA"
GA,Brantley County,"Brunswick, GA"
IL,Mason County,""
MI,Van Buren County,""
IN,Madison County,"Indianapolis-Carmel-Anderson, IN"
SD,Brown County,"Aberdeen, SD"
VA,Fluvanna County,"Charlottesville, VA"
WV,Grant County,""
MD,Somerset County,"Salisbury, MD-DE"
MS,Neshoba County,""
IL,Monroe County,"St. Louis, MO-IL"
WI,Calumet County,"Appleton, WI"
SD,Walworth County,""
ND,Bottineau County,""
ND,Pembina County,""
MI,Crawford County,""
LA,Concordia Parish,"Natchez, MS-LA"
KY,Laurel County,"London, KY"
LA,Washington Parish,"Bogalusa, LA"
KY,Adair County,""
VA,Culpeper County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MS,Lowndes County,"Columbus, MS"
AR,Ouachita County,"Camden, AR"
MN,Aitkin County,""
WV,Wetzel County,""
FL,Union County,""
MN,Pennington County,""
IN,Union County,"Cincinnati, OH-KY-IN"
IN,Knox County,"Vincennes, IN"
MT,Gallatin County,"Bozeman, MT"
WY,Uinta County,"Evanston, WY"
KY,Johnson County,""
IN,Dearborn County,"Cincinnati, OH-KY-IN"
OR,Lake County,""
GA,Lee County,"Albany, GA"
IL,Montgomery County,""
MS,Issaquena County,""
OR,Wheeler County,""
TN,Hardeman County,""
MN,Marshall County,""
WV,Putnam County,"Huntington-Ashland, WV-KY-OH"
IL,Cumberland County,"Charleston-Mattoon, IL"
UT,Davis County,"Ogden-Clearfield, UT"
OR,Curry County,"Brookings, OR"
VA,Poquoson city,"Virginia Beach-Norfolk-Newport News, VA-NC"
CO,Mesa County,"Grand Junction, CO"
OK,Atoka County,""
ID,Lemhi County,""
OH,Fayette County,"Washington Court House, OH"
PA,Lawrence County,"New Castle, PA"
WA,Columbia County,""
WA,Klickitat County,""
OR,Coos County,"Coos Bay, OR"
MN,Big Stone County,""
MS,Jasper County,"Laurel, MS"
TN,Cocke County,"Newport, TN"
VA,Augusta County,"Staunton, VA"
MN,Scott County,"Minneapolis-St. Paul-Bloomington, MN-WI"
WI,Juneau County,""
AZ,Coconino County,"Flagstaff, AZ"
MT,Silver Bow County,"Butte-Silver Bow, MT"
WY,Crook County,"Gillette, WY"
VA,Richmond County,""
MO,Taney County,"Branson, MO"
WY,Sheridan County,"Sheridan, WY"
SC,Marlboro County,"Bennettsville, SC"
FL,Okeechobee County,"Okeechobee, FL"
IN,Whitley County,"Fort Wayne, IN"
IL,Menard County,"Springfield, IL"
TX,Hopkins County,"Sulphur Springs, TX"
MO,Nodaway County,"Maryville, MO"
IA,Wapello County,"Ottumwa, IA"
KS,Rawlins County,""
VA,Montgomery County,"Blacksburg-Christiansburg, VA"
MS,Clarke County,"Meridian, MS"
GA,Union County,""
MN,Crow Wing County,"Brainerd, MN"
IA,Howard County,""
WV,Clay County,"Charleston, WV"
MN,Wright County,"Minneapolis-St. Paul-Bloomington, MN-WI"
GA,Marion County,"Columbus, GA-AL"
IN,Crawford County,""
MI,Iosco County,""
IN,Boone County,"Indianapolis-Carmel-Anderson, IN"
KS,Harper County,""
NE,Sarpy County,"Omaha-Council Bluffs, NE-IA"
KS,Rice County,""
TN,Lawrence County,"Lawrenceburg, TN"
TN,Sullivan County,"Kingsport-Bristol, TN-VA"
MS,Carroll County,"Greenwood, MS"
KS,Morris County,""
VA,King George County,""
MN,Isanti County,"Minneapolis-St. Paul-Bloomington, MN-WI"
OK,Delaware County,""
IA,Cherokee County,""
NE,Buffalo County,"Kearney, NE"
SD,Union County,"Sioux City, IA-NE-SD"
LA,Iberia Parish,"Lafayette, LA"
SD,Lawrence County,"Spearfish, SD"
TX,Grimes County,""
KS,Miami County,"Kansas City, MO-KS"
OR,Baker County,""
KY,Whitley County,"London, KY"
IA,Benton County,"Cedar Rapids, IA"
AK,Chugach Census Area,""
MT,Lincoln County,""
MO,Worth County,""
LA,St. Bernard Parish,"New Orleans-Metairie, LA"
TX,Coleman County,""
NY,Niagara County,"Buffalo-Cheektowaga, NY"
MO,Warren County,"St. Louis, MO-IL"
PA,Jefferson County,""
ND,Rolette County,""
SD,Aurora County,""
TX,Frio County,"Pearsall, TX"
OH,Henry County,""
CA,Merced County,"Merced, CA"
OR,Grant County,""
TX,Mitchell County,""
ID,Jerome County,"Twin Falls, ID"
OH,Fulton County,"Toledo, OH"
IL,Bond County,"St. Louis, MO-IL"
GA,Morgan County,"Atlanta-Sandy Springs-Alpharetta, GA"
KS,Cowley County,"Winfield, KS"
AZ,Apache County,""
AL,Butler County,""
VA,Staunton city,"Staunton, VA"
IL,Ford County,""
MS,Winston County,""
LA,Claiborne Parish,""
TN,Gibson County,"Jackson, TN"
KS,Jackson County,"Topeka, KS"
NE,Dawson County,"Lexington, NE"
NE,Gage County,"Beatrice, NE"
WI,Vernon County,""
IA,Jackson County,""
MI,Hillsdale County,"Hillsdale, MI"
MS,Clay County,"West Point, MS"
CA,Inyo County,""
AL,Lauderdale County,"Florence-Muscle Shoals, AL"
IL,Grundy County,"Chicago-Naperville-Elgin, IL-IN-WI"
TX,Jackson County,""
PA,Bradford County,"Sayre, PA"
MT,Teton County,""
IA,Fremont County,""
GA,Bryan County,"Savannah, GA"
WV,Randolph County,"Elkins, WV"
VA,Dickenson County,""
TX,Llano County,""
WI,Trempealeau County,""
CO,Clear Creek County,"Denver-Aurora-Lakewood, CO"
TX,Gaines County,""
IN,Wabash County,"Wabash, IN"
OR,Hood River County,"Hood River, OR"
VA,Amelia County,"Richmond, VA"
WI,Winnebago County,"Oshkosh-Neenah, WI"
VA,Sussex County,"Richmond, VA"
MN,Jackson County,""
MN,Murray County,""
IA,Appanoose County,""
AL,Greene County,"Tuscaloosa, AL"
MO,Adair County,"Kirksville, MO"
OK,Lincoln County,"Oklahoma City, OK"
NC,Hyde County,""
KY,Shelby County,"Louisville/Jefferson County, KY-IN"
TX,Orange County,"Beaumont-Port Arthur, TX"
WA,Walla Walla County,"Walla Walla, WA"
MS,Hancock County,"Gulfport-Biloxi, MS"
IL,Pope County,""
TN,Jefferson County,"Morristown, TN"
WI,Fond du Lac County,"Fond du Lac, WI"
NE,Cheyenne County,""
PA,Huntingdon County,"Huntingdon, PA"
MT,Sanders County,""
SC,Lee County,""
MS,Oktibbeha County,"Starkville, MS"
IA,Cerro Gordo County,"Mason City, IA"
GA,Glascock County,""
MO,Chariton County,""
IN,Hendricks County,"Indianapolis-Carmel-Anderson, IN"
MN,Faribault County,""
WA,Grant County,"Moses Lake, WA"
AK,Sitka City and Borough,""
OH,Darke County,"Greenville, OH"
OH,Licking County,"Columbus, OH"
VA,Botetourt County,"Roanoke, VA"
TX,Runnels County,""
VA,Halifax County,""
VA,Greensville County,""
IA,Webster County,"Fort Dodge, IA"
IL,Woodford County,"Peoria, IL"
AL,Colbert County,"Florence-Muscle Shoals, AL"
ID,Latah County,"Moscow, ID"
ND,Logan County,""
IN,Owen County,"Bloomington, IN"
WY,Hot Springs County,""
IA,Montgomery County,""
TX,Hood County,"Granbury, TX"
OK,Le Flore County,""
KY,Montgomery County,"Mount Sterling, KY"
KY,Magoffin County,""
WY,Natrona County,"Casper, WY"
CA,Tehama County,"Red Bluff, CA"
NC,Stokes County,"Winston-Salem, NC"
OK,Stephens County,"Duncan, OK"
MN,Sibley County,""
OR,Harney County,""
MN,Wabasha County,"Rochester, MN"
TN,Hickman County,""
MT,Toole County,""
AZ,Graham County,"Safford, AZ"
WI,Kewaunee County,"Green Bay, WI"
OH,Hardin County,""
TX,Howard County,"Big Spring, TX"
CO,Logan County,"Sterling, CO"
OH,Crawford County,"Bucyrus-Galion, OH"
OR,Polk County,"Salem, OR"
IN,Cass County,"Logansport, IN"
IN,Jefferson County,"Madison, IN"
MN,McLeod County,"Hutchinson, MN"
AR,Madison County,"Fayetteville-Springdale-Rogers, AR"
AL,Coffee County,"Enterprise, AL"
AL,Monroe County,""
ND,Renville County,"Minot, ND"
MO,Pettis County,"Sedalia, MO"
CO,Prowers County,""
NE,Cuming County,""
PA,Clarion County,""
NY,Herkimer County,"Utica-Rome, NY"
NV,White Pine County,""
TN,Cannon County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
GA,Terrell County,"Albany, GA"
GA,Evans County,""
OK,Okmulgee County,"Tulsa, OK"
MI,Cheboygan County,""
NE,Cass County,"Omaha-Council Bluffs, NE-IA"
TX,Trinity County,""
OK,Mayes County,""
TX,Morris County,""
WA,Pacific County,""
TN,Franklin County,"Tullahoma-Manchester, TN"
IN,Warrick County,"Evansville, IN-KY"
NE,Furnas County,""
NE,Boyd County,""
MO,Harrison County,""
NE,Madison County,"Norfolk, NE"
NE,Polk County,""
MI,Jackson County,"Jackson, MI"
OH,Paulding County,""
CT,Southeastern Connecticut Planning Region,"Worcester, MA-CT"
CO,Phillips County,""
TN,Unicoi County,"Johnson City, TN"
VT,Essex County,""
MN,Lake of the Woods County,""
MS,Leflore County,"Greenwood, MS"
TN,Overton County,"Cookeville, TN"
CA,Plumas County,""
UT,Sanpete County,""
AZ,Santa Cruz County,"Nogales, AZ"
PA,Susquehanna County,""
MO,Pike County,""
WA,San Juan County,""
MS,Wayne County,""
WV,Mason County,"Point Pleasant, WV-OH"
MI,Clare County,""
MI,Alger County,""
TN,Henry County,"Paris, TN"
IN,Brown County,"Indianapolis-Carmel-Anderson, IN"
GA,Mitchell County,""
MO,Ray County,"Kansas City, MO-KS"
VA,Falls Church city,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
TN,Warren County,"McMinnville, TN"
WV,Marshall County,"Wheeling, WV-OH"
GA,Bulloch County,"Statesboro, GA"
WI,Oconto County,"Green Bay, WI"
NC,Macon County,""
NM,San Juan County,"Farmington, NM"
TX,Gonzales County,""
MI,Branch County,"Coldwater, MI"
MS,Copiah County,"Jackson, MS"
VA,Wythe County,""
IA,Butler County,""
MO,McDonald County,""
AR,Conway County,""
KY,Rowan County,""
TN,Fayette County,"Memphis, TN-MS-AR"
AR,Carroll County,""
OK,Pittsburg County,"McAlester, OK"
OK,Texas County,"Guymon, OK"
GA,Appling County,""
KY,Marion County,""
AR,Mississippi County,"Blytheville, AR"
KS,Stevens County,""
AL,Clay County,""
VA,Smyth County,""
KY,Menifee County,"Mount Sterling, KY"
PA,Northumberland County,"Sunbury, PA"
TX,Hill County,""
GA,Macon County,""
OK,Nowata County,""
MO,Washington County,""
VA,Page County,""
TX,Fannin County,"Bonham, TX"
KS,Pottawatomie County,"Manhattan, KS"
TN,Claiborne County,""
CO,Archuleta County,""
VA,Hopewell city,"Richmond, VA"
GA,Washington County,""
TX,Blanco County,""
MI,Ontonagon County,""
LA,Red River Parish,""
MS,Benton County,""
KY,Perry County,""
OR,Tillamook County,""
WA,Jefferson County,""
OH,Coshocton County,"Coshocton, OH"
ID,Twin Falls County,"Twin Falls, ID"
MO,Randolph County,"Moberly, MO"
PA,Wayne County,""
ND,Stutsman County,"Jamestown, ND"
TN,Decatur County,""
SC,Clarendon County,"Sumter, SC"
VA,Essex County,""
WI,Clark County,""
NM,Colfax County,""
AR,Poinsett County,"Jonesboro, AR"
MO,Laclede County,"Lebanon, MO"
TX,Houston County,""
MN,Martin County,"Fairmont, MN"
VA,Craig County,"Roanoke, VA"
TX,Starr County,"Rio Grande City-Roma, TX"
NC,Pender County,"Wilmington, NC"
PR,Manatí Municipio,"San Juan-Bayamón-Caguas, PR"
NC,Madison County,"Asheville, NC"
MI,Ogemaw County,""
SD,Oglala Lakota County,""
NC,Caswell County,""
TX,Panola County,""
TN,Johnson County,""
NC,Duplin County,""
TX,Reeves County,"Pecos, TX"
MD,Dorchester County,"Cambridge, MD"
LA,Lincoln Parish,"Ruston, LA"
IA,Emmet County,""
WY,Campbell County,"Gillette, WY"
MI,Oscoda County,""
TX,Live Oak County,""
TX,Chambers County,"Houston-The Woodlands-Sugar Land, TX"
NC,Montgomery County,""
PA,Fayette County,"Pittsburgh, PA"
CO,Otero County,""
WV,Hancock County,"Weirton-Steubenville, WV-OH"
GA,Bleckley County,""
MS,Tippah County,""
SC,Marion County,""
TX,Uvalde County,"Uvalde, TX"
MO,Knox County,""
AK,Denali Borough,""
MI,Otsego County,""
CO,Grand County,""
IL,Jefferson County,"Mount Vernon, IL"
MS,Leake County,""
MN,Carver County,"Minneapolis-St. Paul-Bloomington, MN-WI"
MN,Beltrami County,"Bemidji, MN"
NM,Rio Arriba County,"Española, NM"
OK,Murray County,""
OH,Pike County,""
MO,DeKalb County,"St. Joseph, MO-KS"
OK,Jackson County,"Altus, OK"
IN,Newton County,"Chicago-Naperville-Elgin, IL-IN-WI"
GA,Pike County,"Atlanta-Sandy Springs-Alpharetta, GA"
OK,Pottawatomie County,"Shawnee, OK"
IL,Marshall County,"Peoria, IL"
NE,Adams County,"Hastings, NE"
IA,Sioux County,""
AR,Miller County,"Texarkana, TX-AR"
AL,Conecuh County,""
MI,Benzie County,"Traverse City, MI"
GA,Gordon County,"Calhoun, GA"
NE,Colfax County,""
TX,Cooke County,"Gainesville, TX"
PA,Clinton County,"Lock Haven, PA"
ID,Idaho County,""
VA,Suffolk city,"Virginia Beach-Norfolk-Newport News, VA-NC"
MI,Kalkaska County,"Traverse City, MI"
WY,Albany County,"Laramie, WY"
MS,Humphreys County,""
OK,Wagoner County,"Tulsa, OK"
IA,Crawford County,""
MO,Dent County,""
WI,Rusk County,""
WV,Preston County,"Morgantown, WV"
MO,Cedar County,""
VA,Roanoke County,"Roanoke, VA"
KS,Cheyenne County,""
VA,Franklin County,"Roanoke, VA"
IN,Benton County,"Lafayette-West Lafayette, IN"
LA,Acadia Parish,"Lafayette, LA"
GA,Emanuel County,""
IN,Gibson County,""
TX,Kendall County,"San Antonio-New Braunfels, TX"
KY,Crittenden County,""
MT,Petroleum County,""
MS,Simpson County,"Jackson, MS"
NY,Yates County,"Rochester, NY"
OR,Morrow County,"Hermiston-Pendleton, OR"
WV,Pleasants County,""
ID,Bonner County,"Sandpoint, ID"
IN,Montgomery County,"Crawfordsville, IN"
MO,Lafayette County,"Kansas City, MO-KS"
LA,Avoyelles Parish,""
SD,Hyde County,""
PA,Columbia County,"Bloomsburg-Berwick, PA"
OH,Champaign County,"Urbana, OH"
GA,Taylor County,""
MO,Marion County,"Hannibal, MO"
TX,Lipscomb County,""
IA,Floyd County,""
IL,Kankakee County,"Kankakee, IL"
AR,Dallas County,""
MT,Blaine County,""
WV,Tucker County,""
FL,Bradford County,""
GA,Telfair County,""
AL,Lamar County,""
NC,Northampton County,"Roanoke Rapids, NC"
AL,Cleburne County,""
LA,Cameron Parish,"Lake Charles, LA"
PA,Sullivan County,""
WV,Marion County,"Fairmont, WV"
